MUNICIPIO,LEITOS_EXISTENTES,LATITUDE,LONGITUDE
AROEIRAS,115,-7.5462904,-35.7080002
ARRAIAL,21,-6.6541632,-42.5335332
ARRAIAL DO CABO,340,-22.9662839,-42.024427
ARRAIAS,232,-12.9287788,-46.9437231
ARROIO DO MEIO,280,-29.4020392,-51.9444993
ARROIO DO TIGRE,304,-29.334158,-53.0888935
ARROIO GRANDE,192,-29.548078,-52.0971166
ARROIO TRINTA,88,-26.9301976,-51.334928
ARTUR NOGUEIRA,48,-22.572737,-47.172679
ARUANA,60,-11.0117971,-37.0832881
ARUJA,324,-23.396266,-46.3175449
ARVOREZINHA,204,-28.8731093,-52.1757917
ASSAI,196,-23.3736041,-50.8454929
ASSARE,200,-6.8746791,-39.8741385
ASSIS,1296,-22.6620892,-50.420623
ASSIS BRASIL,48,-10.9409203,-69.5672108
ASSIS CHATEAUBRIAND,356,-24.4054826,-53.5120468
ASTORGA,408,-23.2350184,-51.6647074
ATALAIA,176,-23.1513833,-52.0529697
ATALAIA DO NORTE,143,-4.3658547,-70.1908742
ATALEIA,152,-18.0441576,-41.1104812
ATIBAIA,1172,-23.1177393,-46.5547861
ATILIO VIVACQUA,52,-20.9139369,-41.1947519
AUGUSTINOPOLIS,432,-5.4662267,-47.8897519
AUGUSTO CORREA,332,-1.0229335,-46.6404029
AUGUSTO PESTANA,200,-28.5148413,-53.9906433
AUGUSTO SEVERO,32,-5.862063,-37.3134908
AURELINO LEAL,160,-14.3167137,-39.3256107
AURIFLAMA,176,-20.6840418,-50.5554616
AURORA,552,-6.9426019,-38.9693765
AURORA DO PARA,232,-2.1323199,-47.558436
AUTAZES,176,-3.5833283,-59.1301518
AVARE,796,-23.1045215,-48.9259103
AVELINO LOPES,88,-10.1346855,-43.9489525
AVELINOPOLIS,48,-16.4672409,-49.7578661
AXIXA,100,-5.2779569,-45.6683061
BACABAL,976,-4.2318132,-44.781167
BACABEIRA,104,-2.9786744,-44.3163504
BACURI,92,-1.728894,-45.1417148
BAEPENDI,276,-21.9575733,-44.8891463
BAGE,1132,-31.3314264,-54.1062808
BAGRE,64,-1.8994498,-50.2103844
BAIA FORMOSA,36,-6.3691885,-35.0063741
BAIANOPOLIS,112,-12.3067564,-44.5383591
BAIAO,136,-2.7903479,-49.6702845
BAIXA GRANDE,180,-11.9630941,-40.1657537
BAIXA GRANDE DO RIBEIRO,44,-7.862861,-45.2113289
BAIXIO,76,-6.7303544,-38.7170095
BAIXO GUANDU,232,-19.5138322,-41.0182089
BALNEARIO CAMBORIU,1460,-26.9924395,-48.6339782
BALSAS,672,-7.53214,-46.037163
BAMBUI,372,-20.0131996,-45.9777034
BANABUIU,68,-5.304151,-38.9197719
BANANAL,60,-22.6820178,-44.3221805
BANANEIRAS,148,-6.7537682,-35.6338343
BANDEIRANTES,544,-23.107788,-50.370407
BANDEIRANTES DO TOCANTINS,12,-7.7635698,-48.579148
BANNACH,44,-7.3508505,-50.4064531
BARAO DE COCAIS,140,-19.9452437,-43.4870298
BARAO DE GRAJAU,124,-6.7542591,-43.0263477
BARAUNA,116,-14.0667543,-42.4945413
BARBACENA,3051,-21.2254524,-43.7735087
BARBALHA,2184,-7.3121067,-39.3036427
BARBOSA FERRAZ,4,-24.0287182,-52.00811
BARCARENA,824,-1.5107945,-48.6190679
BARCELONA,4,-5.9514918,-35.9260284
BARCELOS,120,-0.9729214,-62.925635
BARIRI,260,-22.0746355,-48.7394852
BARRA,460,-11.0892702,-43.1420453
BARRA BONITA,232,-22.490859,-48.558349
BARRA DA ESTIVA,260,-13.6269662,-41.3278287
BARRA DE GUABIRABA,68,-8.4173522,-35.6626669
BARRA DE SANTA ROSA,12,-6.7218007,-36.0564638
BARRA DE SAO FRANCISCO,396,-18.7570902,-40.8916119
BARRA DO BUGRES,128,-15.0683712,-57.1853688
BARRA DO CHOCA,132,-14.8638173,-40.5761637
BARRA DO CORDA,1016,-5.496823,-45.248496
BARRA DO GARCAS,528,-15.8916033,-52.2615413
BARRA DO MENDES,120,-11.8053298,-42.057037
BARRA DO PIRAI,1208,-22.4703403,-43.8263256
BARRA MANSA,1938,-22.4852784,-44.1970700330659
BARRAS,296,-4.2446153,-42.2920241
BARREIRA,84,-4.2883361,-38.641094
BARREIRAS,2236,-12.1440031,-44.9967406
BARREIRINHA,120,-2.798863,-57.067897
BARREIRINHAS,312,-2.7541271,-42.8259693
BARREIROS,432,-8.8159644,-35.1831905
BARRETOS,2400,-20.5531437,-48.5697509
BARRO,92,-7.1713587,-38.7742136
BARRO ALTO,184,-11.7618025,-41.9094904
BARRO DURO,84,-5.8180139,-42.5106589
BARRO PRETO,36,-14.8068289,-39.4727588
BARROCAS,120,-11.5338665,-39.0802106
BARROQUINHA,36,-3.0200371,-41.1339229
BARROSO,208,-21.187137,-43.9771259
BARUERI,2428,-23.5112184,-46.8764612
BASTOS,126,-21.9222474,-50.7317727
BATAGUASSU,144,-21.715899,-52.422058
BATALHA,236,-9.6733809,-37.1265481
BATATAIS,564,-20.892867,-47.592149
BATURITE,276,-4.3290203,-38.8821055
BAURU,5832,-22.3218102,-49.0705863
BAYEUX,192,-7.1301631,-34.936532
BEBEDOURO,728,-20.949077,-48.479083
BEBERIBE,240,-4.1810469,-38.1298101
BELA CRUZ,132,-3.0529129,-40.167582
BELA VISTA,132,-22.107327,-56.5317344
BELA VISTA DE GOIAS,208,-16.9692949,-48.9513071
BELA VISTA DO MARANHAO,80,-3.7416367,-45.2514192
BELA VISTA DO PARAISO,68,-22.9948493,-51.1907996
BELAGUA,28,-3.1604031,-43.5085052
BELEM,18840,-1.45056,-48.4682453
BELEM DE MARIA,36,-8.6242497,-35.8388934
BELEM DE SAO FRANCISCO,92,-8.7897342,-38.9594832
BELEM DO BREJO DO CRUZ,120,-6.1880727,-37.5332267
BELFORD ROXO,1643,-22.7667284,-43.4033603
BELMONTE,164,-15.8585465,-38.8820186
BELO CAMPO,204,-15.0338286,-41.2585109
BELO HORIZONTE,42473,-19.9227318,-43.9450948
BELO JARDIM,348,-8.3338293,-36.4176419
BELO ORIENTE,200,-19.2232523,-42.4807033
BELO VALE,129,-20.407778,-44.024167
BELTERRA,200,-2.636091,-54.937392
BENEDITINOS,60,-5.4565671,-42.3605061
BENEDITO LEITE,56,-7.2173453,-44.5523331
BENEDITO NOVO,8,-26.7840657,-49.3629511
BENJAMIN CONSTANT,220,-4.3782748,-70.0290603
BENTO FERNANDES,60,-5.6926846,-35.8207423
BENTO GONCALVES,1212,-29.1654014,-51.5197627
BEQUIMAO,72,-2.4495376,-44.7884889
BERILO,160,-16.9515764,-42.4643732
BERNARDINO DE CAMPOS,92,-23.0140216,-49.4760724
BERNARDO DO MEARIM,60,-4.6315929,-44.7617508
BERTIOGA,196,-23.848568,-46.139586
BERTOLINIA,16,-7.6372159,-43.9540611
BERURI,108,-3.9007135,-61.3717319
BETANIA,96,-2.13029,-48.8078367
BETIM,2944,-19.968056,-44.198333
BEZERROS,940,-8.2372132,-35.7558262
BICAS,128,-21.7213723,-43.0604327
BIGUACU,332,-27.4961277,-48.6542432
BILAC,144,-21.403962,-50.47464
BIRIGUI,656,-21.2908491,-50.34144
BIRITIBA-MIRIM,39,-23.5697765,-46.0407456
BIRITINGA,56,-11.6227908,-38.8066738
BITURUNA,172,-26.161281,-51.5533319
BLUMENAU,3210,-26.9195567,-49.0658025
BOA ESPERANCA,320,-21.0901253,-45.5660195
BOA ESPERANCA DO SUL,64,-21.9930206,-48.3917372
BOA VENTURA,12,-7.4202462,-38.2156782
BOA VIAGEM,296,-5.1261877,-39.7300055
BOA VISTA DA APARECIDA,84,-25.4357216,-53.4067721
BOA VISTA DO BURICA,160,-27.6687782,-54.1111913
BOA VISTA DO GURUPI,64,-1.7981168,-46.3071882
BOA VISTA DO RAMOS,88,-2.9716927,-57.5869819
BOA VISTA DO TUPIM,56,-12.6605988,-40.6083594
BOCA DA MATA,56,-9.6452054,-36.2116658
BOCA DO ACRE,260,-8.7553487,-67.3930873
